RouteID,ElevationClass,Elevation,Habitat,JulyTempAnom,JulyPrecipAnom
1223A_2013,High,6807,HS,2.8,-1.14
1223B_2013,High,6717,HS,2.8,-1.14
1223C_2013,High,6634,LH,2.8,-1.14
1223D_2013,High,6557,LH,2.8,-1.14
1216B_2013,High,6554,LH,2.8,-1.14
1216A_2013,High,6550,HS,2.8,-1.14
1223E_2013,High,6479,LH,2.8,-1.14
1224E_2013,High,6476,Mixed,2.8,-1.14
1229D_2013,Low,5658,Mixed,2.8,-1.14
1229E_2013,Low,5562,Mixed,2.8,-1.14
1217E_2013,Low,5558,Mixed,2.8,-1.14
1218A_2013,Low,5209,LH,2.8,-1.14
1218B_2013,Low,5146,LH,2.8,-1.14
1218D_2013,Low,5048,LH,2.8,-1.14
1218C_2013,Low,5008,LH,2.8,-1.14
1218E_2013,Low,4908,LH,2.8,-1.14
1223A_2014,High,6807,HS,4.4,0.45
1223B_2014,High,6717,HS,4.4,0.45
1223C_2014,High,6634,LH,4.4,0.45
1223D_2014,High,6557,LH,4.4,0.45
1216B_2014,High,6554,LH,4.4,0.45
1216A_2014,High,6550,HS,4.4,0.45
1223E_2014,High,6479,LH,4.4,0.45
1224E_2014,High,6476,Mixed,4.4,0.45
1229D_2014,Low,5658,Mixed,4.4,0.45
1229E_2014,Low,5562,Mixed,4.4,0.45
1217E_2014,Low,5558,Mixed,4.4,0.45
1218A_2014,Low,5209,LH,4.4,0.45
1218B_2014,Low,5146,LH,4.4,0.45
1218D_2014,Low,5048,LH,4.4,0.45
1218C_2014,Low,5008,LH,4.4,0.45
1218E_2014,Low,4908,LH,4.4,0.45
1223A_2015,High,6807,HS,4.8,-0.6
1223B_2015,High,6717,HS,4.8,-0.6
1223C_2015,High,6634,LH,4.8,-0.6
1223D_2015,High,6557,LH,4.8,-0.6
1216B_2015,High,6554,LH,4.8,-0.6
1216A_2015,High,6550,HS,4.8,-0.6
1223E_2015,High,6479,LH,4.8,-0.6
1224E_2015,High,6476,Mixed,4.8,-0.6
1229D_2015,Low,5658,Mixed,4.8,-0.6
1229E_2015,Low,5562,Mixed,4.8,-0.6
1217E_2015,Low,5558,Mixed,4.8,-0.6
1218A_2015,Low,5209,LH,4.8,-0.6
1218B_2015,Low,5146,LH,4.8,-0.6
1218D_2015,Low,5048,LH,4.8,-0.6
1218C_2015,Low,5008,LH,4.8,-0.6
1218E_2015,Low,4908,LH,4.8,-0.6
1223A_2016,High,6807,HS,-0.7,0.36
1223B_2016,High,6717,HS,-0.7,0.36
1223C_2016,High,6634,LH,-0.7,0.36
1223D_2016,High,6557,LH,-0.7,0.36
1216B_2016,High,6554,LH,-0.7,0.36
1216A_2016,High,6550,HS,-0.7,0.36
1223E_2016,High,6479,LH,-0.7,0.36
1224E_2016,High,6476,Mixed,-0.7,0.36
1229D_2016,Low,5658,Mixed,-0.7,0.36
1229E_2016,Low,5562,Mixed,-0.7,0.36
1217E_2016,Low,5558,Mixed,-0.7,0.36
1218A_2016,Low,5209,LH,-0.7,0.36
1218B_2016,Low,5146,LH,-0.7,0.36
1218D_2016,Low,5048,LH,-0.7,0.36
1218C_2016,Low,5008,LH,-0.7,0.36
1218E_2016,Low,4908,LH,-0.7,0.36
1223A_2017,High,6807,HS,2.5,-1.44
1223B_2017,High,6717,HS,2.5,-1.44
1223C_2017,High,6634,LH,2.5,-1.44
1223D_2017,High,6557,LH,2.5,-1.44
1216B_2017,High,6554,LH,2.5,-1.44
1216A_2017,High,6550,HS,2.5,-1.44
1223E_2017,High,6479,LH,2.5,-1.44
1224E_2017,High,6476,Mixed,2.5,-1.44
1229D_2017,Low,5658,Mixed,2.5,-1.44
1229E_2017,Low,5562,Mixed,2.5,-1.44
1217E_2017,Low,5558,Mixed,2.5,-1.44
1218A_2017,Low,5209,LH,2.5,-1.44
1218B_2017,Low,5146,LH,2.5,-1.44
1218D_2017,Low,5048,LH,2.5,-1.44
1218C_2017,Low,5008,LH,2.5,-1.44
1218E_2017,Low,4908,LH,2.5,-1.44
1223A_2018,High,6807,HS,4.6,-1.06
1223B_2018,High,6717,HS,4.6,-1.06
1223C_2018,High,6634,LH,4.6,-1.06
1223D_2018,High,6557,LH,4.6,-1.06
1216B_2018,High,6554,LH,4.6,-1.06
1216A_2018,High,6550,HS,4.6,-1.06
1223E_2018,High,6479,LH,4.6,-1.06
1224E_2018,High,6476,Mixed,4.6,-1.06
1229D_2018,Low,5658,Mixed,4.6,-1.06
1229E_2018,Low,5562,Mixed,4.6,-1.06
1217E_2018,Low,5558,Mixed,4.6,-1.06
1218A_2018,Low,5209,LH,4.6,-1.06
1218B_2018,Low,5146,LH,4.6,-1.06
1218D_2018,Low,5048,LH,4.6,-1.06
1218C_2018,Low,5008,LH,4.6,-1.06
1218E_2018,Low,4908,LH,4.6,-1.06
